YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Month,Date
2021,5,33.33,32.74,21.24,4.77,10.59,71.89,2.11,1.59,77.37,10.03,Nigeria,9,2021-09-01
2018,339,31.47,28.01,23.28,4.98,3.4,63.79,1.99,4.47,77.12,11.46,Nigeria,3,2018-03-01
2023,78,25.67,31.16,24.46,6.42,11.06,60.92,0.01,5.32,77.5,10.12,Nigeria,9,2023-09-01
2017,62,22.51,26.93,23.46,4.99,4.8,56.44,2.41,2.26,75.29,12.51,Nigeria,1,2017-01-01
2019,132,25.24,32.07,23.85,3.5,3.84,54.72,1.69,2.95,77.16,10.79,Nigeria,1,2019-01-01
2017,89,26.64,30.83,25.15,4.88,10.31,84.89,1.97,4.75,75.01,11.51,Nigeria,4,2017-04-01
2021,237,23.48,32.15,19.22,6.68,1.36,68.34,1.13,4.36,76.82,11.64,Nigeria,9,2021-09-01
2019,42,26.86,29.76,21.47,7.34,13.12,54.09,0.91,6.96,77.66,7.87,Nigeria,6,2019-06-01
2023,89,26.62,29.13,24.09,7.32,1.59,67.88,2.88,5.08,78.05,10.1,Nigeria,11,2023-11-01
2021,296,27.25,31.63,23.19,6.85,3.09,75.62,3.11,4.84,77.33,9.34,Nigeria,3,2021-03-01
2016,328,27.46,27.38,24.26,5.66,6.27,66.68,2.42,3.24,77.68,12.09,Nigeria,1,2016-01-01
2018,295,25.07,26.51,24.46,6.81,1.11,78.74,0.19,4.52,76.7,10.93,Nigeria,4,2018-04-01
2023,104,25.29,29.99,19.77,5.92,13.13,49.57,2.48,5.5,76.49,9.62,Nigeria,12,2023-12-01
2016,14,27.09,29.22,26.55,6.23,0.84,45.09,0.2,3.84,79.69,7.44,Nigeria,9,2016-09-01
2024,288,25.74,31.11,23.0,4.12,4.57,67.61,1.34,3.88,77.83,6.81,Nigeria,3,2024-03-01
2023,179,28.81,32.18,22.27,6.09,4.13,67.76,2.87,4.14,75.83,10.62,Nigeria,12,2023-12-01
2024,125,27.07,31.07,24.42,6.76,7.06,31.6,2.66,3.34,75.27,8.57,Nigeria,9,2024-09-01
2019,353,30.73,32.02,24.21,6.68,0.89,58.76,2.46,4.27,76.53,11.33,Nigeria,7,2019-07-01
2016,23,28.64,30.64,26.39,3.42,6.47,54.91,3.31,4.24,78.19,6.71,Nigeria,12,2016-12-01
2018,63,29.21,30.99,24.54,6.19,0.86,51.08,2.56,5.48,77.05,13.19,Nigeria,4,2018-04-01
2021,143,27.27,29.77,26.32,3.11,7.23,54.89,-0.02,3.81,74.78,11.33,Nigeria,3,2021-03-01
2022,153,27.31,30.93,22.12,6.35,3.66,70.96,1.63,4.67,76.82,10.2,Nigeria,10,2022-10-01
2017,145,30.46,30.33,24.28,4.6,3.43,54.83,1.96,3.84,77.0,13.37,Nigeria,5,2017-05-01
2015,225,26.24,30.65,21.77,9.41,7.41,55.17,1.84,4.64,74.58,11.9,Nigeria,5,2015-05-01
2018,309,28.09,29.67,24.2,6.24,10.78,48.81,1.38,3.75,77.02,9.05,Nigeria,3,2018-03-01
2016,104,26.47,31.62,23.77,7.6,12.56,77.69,0.97,4.57,75.99,10.16,Nigeria,12,2016-12-01
2022,104,26.46,28.58,23.69,10.22,7.32,69.35,4.4,4.73,75.16,6.07,Nigeria,9,2022-09-01
2018,39,24.66,29.96,23.7,4.37,4.39,40.08,1.61,2.93,78.6,12.13,Nigeria,4,2018-04-01
2016,198,25.51,32.62,25.47,6.87,4.14,55.18,4.35,5.1,75.94,9.41,Nigeria,11,2016-11-01
2020,134,25.14,28.1,20.79,3.63,4.01,70.29,0.86,3.83,76.33,6.05,Nigeria,5,2020-05-01
2020,67,28.19,25.68,22.2,6.69,4.07,77.81,2.66,3.53,76.32,7.64,Nigeria,4,2020-04-01
2024,179,29.08,30.73,23.92,9.53,2.01,73.41,2.23,3.29,77.0,11.74,Nigeria,5,2024-05-01
2018,42,26.81,29.49,21.64,4.74,6.16,61.44,1.08,4.3,78.77,13.23,Nigeria,7,2018-07-01
2020,15,27.46,32.02,24.09,4.23,8.61,45.69,1.53,4.0,75.8,10.04,Nigeria,9,2020-09-01
2016,111,26.7,29.74,23.9,5.82,1.09,73.7,1.98,4.37,76.69,8.04,Nigeria,7,2016-07-01
2024,157,25.38,28.79,21.19,10.09,1.17,62.03,1.16,4.39,77.12,7.16,Nigeria,5,2024-05-01
2016,289,28.72,29.85,21.09,7.54,2.3,65.69,1.74,4.61,76.13,12.83,Nigeria,10,2016-10-01
2024,231,28.31,32.19,18.75,4.19,0.08,63.23,-0.36,6.78,76.68,10.9,Nigeria,10,2024-10-01
2018,157,23.21,31.15,21.56,8.91,5.21,51.44,2.71,4.04,77.59,9.34,Nigeria,7,2018-07-01
2022,38,26.43,25.13,24.03,2.69,1.98,68.64,3.23,3.27,76.24,8.86,Nigeria,10,2022-10-01
2021,97,25.24,30.37,24.31,10.27,3.16,67.26,2.45,1.98,76.66,11.34,Nigeria,5,2021-05-01
2023,289,26.22,30.47,24.4,7.71,9.04,60.74,4.26,2.8,76.57,11.29,Nigeria,3,2023-03-01
2022,254,25.66,29.96,22.44,9.53,11.51,69.71,2.68,5.24,76.9,8.21,Nigeria,7,2022-07-01
2019,196,26.91,28.78,23.96,2.7,2.48,51.26,3.14,4.72,77.24,7.72,Nigeria,11,2019-11-01
2016,86,26.34,32.39,24.79,6.34,5.73,62.31,3.24,2.65,77.59,7.82,Nigeria,11,2016-11-01
2019,322,26.3,32.49,21.46,5.73,7.37,65.26,-0.75,6.46,78.94,9.06,Nigeria,2,2019-02-01
2022,10,29.21,25.59,24.25,3.99,4.46,47.65,2.42,4.33,74.34,8.62,Nigeria,12,2022-12-01
2024,5,28.11,28.4,25.31,3.41,3.8,64.43,0.62,4.46,76.83,13.24,Nigeria,9,2024-09-01
2023,123,25.59,29.71,23.02,7.01,15.67,72.34,0.82,6.24,75.64,8.99,Nigeria,10,2023-10-01
2023,330,25.89,31.9,26.12,7.2,6.39,61.97,0.99,5.74,76.61,7.5,Nigeria,10,2023-10-01
2015,353,27.98,30.07,23.07,8.6,1.77,64.66,1.69,4.78,77.88,7.61,Nigeria,12,2015-12-01
2023,118,27.98,28.63,22.28,4.99,0.2,70.62,2.65,4.83,78.2,9.63,Nigeria,1,2023-01-01
2021,294,25.79,31.42,25.11,5.72,7.11,61.12,2.43,4.92,78.24,6.36,Nigeria,6,2021-06-01
2023,159,26.53,29.58,28.07,3.24,5.35,62.02,1.99,3.76,78.24,9.88,Nigeria,7,2023-07-01
2022,303,30.69,29.77,24.17,9.08,12.74,53.23,2.72,4.29,76.83,7.33,Nigeria,8,2022-08-01
2015,228,25.83,29.95,25.27,6.14,1.07,64.85,2.78,4.57,78.4,12.32,Nigeria,10,2015-10-01
2022,216,30.82,31.15,22.98,7.45,6.68,61.65,2.44,3.87,78.6,10.23,Nigeria,9,2022-09-01
2022,184,29.21,29.38,21.52,7.52,0.32,69.99,0.28,3.03,77.14,14.24,Nigeria,2,2022-02-01
2025,15,30.45,31.37,24.33,8.92,7.41,70.63,1.26,3.73,78.18,9.54,Nigeria,11,2025-11-01
2017,157,25.74,29.85,24.65,4.34,0.86,72.91,2.03,3.01,77.04,3.74,Nigeria,10,2017-10-01
2015,136,26.66,27.87,23.28,7.4,1.1,59.92,2.73,4.06,78.41,12.92,Nigeria,2,2015-02-01
2022,261,26.1,29.93,25.26,5.95,3.1,43.23,0.67,2.22,76.84,11.0,Nigeria,5,2022-05-01
2017,157,29.25,27.97,22.69,10.21,4.15,72.42,1.99,4.34,76.39,11.31,Nigeria,5,2017-05-01
2017,47,25.86,30.08,22.2,4.33,3.94,69.31,0.43,2.37,75.88,7.99,Nigeria,6,2017-06-01
2015,324,28.46,31.66,26.12,8.34,1.91,58.65,3.03,3.6,76.83,9.91,Nigeria,3,2015-03-01
2025,332,28.36,27.85,26.13,6.7,0.51,70.55,2.24,4.5,77.08,10.37,Nigeria,8,2025-08-01
2019,173,26.9,30.73,22.73,6.6,0.2,50.51,0.65,4.79,76.05,9.52,Nigeria,1,2019-01-01
2024,130,29.6,28.34,27.44,6.11,2.09,75.3,0.65,4.67,76.75,6.53,Nigeria,6,2024-06-01
2021,95,27.22,30.4,23.43,8.69,7.71,61.66,2.39,4.32,76.47,15.54,Nigeria,4,2021-04-01
2024,115,28.67,31.72,24.17,6.53,0.22,56.71,3.37,2.88,75.92,11.67,Nigeria,1,2024-01-01
2023,243,26.01,25.74,23.83,2.95,6.97,58.78,0.9,4.98,78.04,10.84,Nigeria,7,2023-07-01
2021,292,25.55,27.77,25.05,8.44,4.32,62.69,2.79,2.9,78.21,12.63,Nigeria,9,2021-09-01
2023,282,28.46,29.26,24.54,8.07,6.63,64.88,1.46,5.09,78.03,11.29,Nigeria,4,2023-04-01
2022,299,27.86,30.63,24.52,7.17,0.98,65.48,2.82,4.63,76.92,8.65,Nigeria,4,2022-04-01
2016,283,27.49,29.67,21.96,3.74,0.2,60.7,2.68,5.36,76.98,12.5,Nigeria,6,2016-06-01
2015,69,26.31,29.91,20.62,4.05,0.25,67.0,2.16,4.02,75.94,11.7,Nigeria,12,2015-12-01
2021,148,30.1,34.09,26.28,2.25,1.27,65.08,0.17,3.18,77.41,8.72,Nigeria,3,2021-03-01
2021,11,24.77,27.58,22.91,6.92,8.53,58.52,2.68,2.71,77.17,11.58,Nigeria,12,2021-12-01
2022,254,24.66,32.27,23.9,3.3,2.43,57.02,2.5,2.82,79.84,9.52,Nigeria,6,2022-06-01
2019,330,28.88,29.3,24.65,2.56,7.2,71.08,2.41,2.36,78.09,10.42,Nigeria,7,2019-07-01
2017,360,28.72,31.1,27.26,8.55,1.84,70.24,2.2,4.94,77.32,11.2,Nigeria,11,2017-11-01
2022,38,27.71,34.26,24.32,7.54,1.08,65.57,1.12,5.07,76.96,12.74,Nigeria,10,2022-10-01
2020,134,26.42,31.38,23.21,5.33,7.77,74.24,3.08,4.55,78.0,8.71,Nigeria,10,2020-10-01
2025,200,28.0,30.74,22.95,5.73,1.03,45.39,2.9,3.97,76.08,10.73,Nigeria,3,2025-03-01
2017,23,30.44,33.2,23.93,1.19,8.06,59.36,0.92,6.06,78.14,14.03,Nigeria,7,2017-07-01
2015,303,32.03,32.25,22.18,7.83,0.14,53.44,3.31,3.9,75.91,9.65,Nigeria,3,2015-03-01
2017,346,23.69,28.4,24.06,4.61,1.39,87.56,2.13,4.22,76.44,10.39,Nigeria,2,2017-02-01
2019,302,26.16,30.59,23.9,6.66,11.35,72.13,2.13,3.95,75.16,14.03,Nigeria,12,2019-12-01
2017,363,26.04,26.57,27.28,1.02,0.82,64.21,1.82,3.66,77.61,11.27,Nigeria,10,2017-10-01
2015,218,30.25,28.92,23.83,7.96,3.73,72.85,1.92,4.63,77.25,7.05,Nigeria,4,2015-04-01
2019,141,22.04,30.63,20.15,4.49,6.08,76.16,3.37,3.37,76.44,8.41,Nigeria,12,2019-12-01
2024,104,28.03,28.8,29.35,3.25,4.13,76.06,3.03,3.3,76.07,11.38,Nigeria,8,2024-08-01
2021,210,26.49,30.55,25.91,5.32,4.28,74.22,3.01,4.68,78.38,10.85,Nigeria,9,2021-09-01
2021,111,30.28,29.97,28.16,4.81,2.72,62.37,2.18,3.5,76.87,10.33,Nigeria,7,2021-07-01
2025,104,30.0,31.07,21.69,8.15,3.51,59.99,2.89,4.13,76.23,14.32,Nigeria,1,2025-01-01
2023,316,27.73,29.15,23.56,5.16,4.74,55.38,1.17,3.66,78.92,8.77,Nigeria,3,2023-03-01
2024,171,23.84,28.12,25.35,8.73,0.66,70.02,2.58,3.99,76.34,9.85,Nigeria,12,2024-12-01
2024,356,25.85,32.96,25.07,6.66,6.88,63.41,1.85,3.33,78.14,6.07,Nigeria,9,2024-09-01
2017,324,26.07,29.01,24.61,7.79,9.86,60.82,-0.06,3.36,75.85,12.32,Nigeria,12,2017-12-01
2021,133,24.35,31.32,19.6,6.0,6.03,60.29,0.41,3.18,76.65,8.4,Nigeria,1,2021-01-01
2015,293,29.31,32.87,20.58,8.54,9.87,79.5,1.34,4.84,77.5,12.11,Nigeria,9,2015-09-01
2018,328,24.09,30.33,27.04,3.69,0.94,74.53,2.42,4.17,76.94,11.9,Nigeria,8,2018-08-01
2018,127,30.93,28.29,27.39,6.23,2.35,83.3,1.34,4.92,77.24,14.7,Nigeria,1,2018-01-01
2019,106,30.93,29.64,23.79,5.21,1.56,70.29,1.41,5.03,76.46,11.3,Nigeria,6,2019-06-01
2021,92,26.23,32.04,26.78,8.79,3.94,65.57,2.76,3.54,75.4,9.29,Nigeria,5,2021-05-01
2021,287,27.66,30.41,21.95,9.0,3.33,64.75,1.44,4.88,78.47,10.91,Nigeria,6,2021-06-01
2025,51,26.86,27.59,22.41,6.0,8.38,54.8,3.33,3.99,76.52,8.48,Nigeria,10,2025-10-01
2018,29,28.8,31.19,21.8,3.42,0.71,52.39,3.17,3.84,77.29,10.64,Nigeria,12,2018-12-01
2021,296,29.55,31.54,22.3,6.85,11.3,70.07,2.02,5.25,77.7,9.6,Nigeria,5,2021-05-01
2025,297,27.52,29.29,25.45,2.67,6.32,55.65,2.75,4.55,77.31,9.86,Nigeria,6,2025-06-01
2017,214,27.94,31.22,22.28,9.25,3.45,67.11,2.62,3.65,76.29,8.2,Nigeria,5,2017-05-01
2020,267,25.76,30.49,28.48,5.05,2.1,76.15,1.75,4.49,78.16,10.6,Nigeria,11,2020-11-01
2016,257,27.87,29.61,24.92,5.94,1.47,58.35,2.86,2.73,77.51,11.65,Nigeria,12,2016-12-01
2024,302,27.33,27.41,26.17,4.64,1.79,85.1,3.01,4.25,77.2,6.7,Nigeria,5,2024-05-01
2023,101,25.18,32.16,24.98,4.2,3.84,55.09,1.05,2.5,77.18,8.62,Nigeria,4,2023-04-01
2019,346,26.97,31.52,26.43,7.47,1.96,74.9,2.15,3.02,78.68,10.34,Nigeria,3,2019-03-01
2020,110,26.23,31.17,22.26,5.68,0.2,69.25,2.14,4.58,76.27,5.31,Nigeria,3,2020-03-01
2018,182,25.78,33.09,26.89,6.08,3.87,76.94,2.85,1.33,77.42,13.48,Nigeria,4,2018-04-01
2025,313,24.71,31.89,24.28,3.99,1.18,53.84,1.56,5.8,76.47,8.58,Nigeria,9,2025-09-01
2024,1,27.13,31.37,26.42,7.71,4.61,88.07,1.4,4.83,75.06,8.12,Nigeria,2,2024-02-01
2021,319,25.44,25.57,21.12,7.92,1.88,63.21,2.17,2.16,75.04,9.59,Nigeria,9,2021-09-01
2023,55,26.06,32.39,24.36,5.58,6.48,71.77,3.18,6.4,75.99,10.27,Nigeria,1,2023-01-01
2021,149,29.15,30.17,24.29,8.54,7.95,79.44,0.8,6.67,76.34,8.49,Nigeria,1,2021-01-01
2015,309,28.26,30.62,22.76,5.79,7.94,58.95,0.98,3.82,79.17,11.96,Nigeria,5,2015-05-01
2015,137,25.04,30.64,24.63,7.56,4.59,73.26,1.48,3.07,77.7,10.8,Nigeria,6,2015-06-01
2023,202,27.7,31.55,27.08,2.75,5.17,57.29,1.66,5.69,77.79,8.33,Nigeria,6,2023-06-01
2025,313,27.27,32.24,22.61,6.71,1.39,78.97,0.23,3.66,76.36,8.96,Nigeria,3,2025-03-01
2023,117,30.4,31.27,25.92,5.46,6.39,57.4,3.5,4.16,77.06,6.97,Nigeria,7,2023-07-01
2018,154,29.77,30.95,21.75,6.31,6.95,65.39,1.87,5.22,79.31,7.49,Nigeria,9,2018-09-01
2023,291,23.93,30.46,28.22,6.22,4.84,68.06,1.72,3.85,75.79,10.78,Nigeria,11,2023-11-01
2017,63,28.72,23.3,25.57,6.25,4.89,72.84,3.62,3.76,77.46,8.35,Nigeria,12,2017-12-01
2021,244,29.53,29.42,27.45,7.23,9.84,84.68,2.72,2.73,78.61,13.61,Nigeria,10,2021-10-01
2020,25,28.12,28.12,25.34,4.87,1.22,60.48,1.46,3.37,77.97,10.14,Nigeria,8,2020-08-01
2022,90,26.33,32.42,24.78,7.14,0.13,76.39,2.16,3.74,78.8,7.29,Nigeria,6,2022-06-01
2025,75,31.83,31.24,25.59,8.47,0.9,84.7,1.96,2.76,77.21,7.71,Nigeria,12,2025-12-01
2023,294,28.3,29.08,23.73,3.18,4.52,66.66,3.45,2.85,77.6,12.11,Nigeria,8,2023-08-01
2019,210,30.95,29.28,20.76,4.44,3.63,59.5,1.83,4.03,77.11,9.85,Nigeria,12,2019-12-01
2015,347,29.7,29.21,24.89,4.52,3.15,47.7,0.56,2.15,77.53,11.98,Nigeria,5,2015-05-01
2017,17,27.93,29.18,22.49,3.82,3.99,83.83,0.12,3.12,76.08,9.27,Nigeria,8,2017-08-01
2024,128,25.84,27.11,21.8,5.05,5.08,62.56,3.48,5.94,77.79,8.88,Nigeria,10,2024-10-01
2022,364,26.95,26.68,25.27,8.07,0.99,54.99,1.21,3.65,77.29,12.24,Nigeria,12,2022-12-01
2025,251,26.56,30.06,23.44,8.9,4.37,51.42,2.67,3.53,77.06,8.28,Nigeria,4,2025-04-01
2020,179,24.57,32.15,26.06,6.21,5.22,54.97,2.07,3.65,78.75,10.98,Nigeria,10,2020-10-01
2022,182,28.3,28.92,22.42,5.35,0.56,74.2,1.58,3.67,76.73,9.58,Nigeria,8,2022-08-01
2023,152,30.13,30.61,23.06,7.61,5.1,75.58,1.74,4.57,78.21,11.76,Nigeria,10,2023-10-01
2018,25,26.4,31.47,26.3,1.27,3.4,71.52,3.58,4.5,78.31,13.64,Nigeria,12,2018-12-01
2015,180,31.33,28.01,24.56,3.89,0.16,66.32,0.55,3.61,77.86,9.22,Nigeria,2,2015-02-01
2015,198,23.88,29.96,21.05,1.36,4.41,52.54,1.61,3.79,76.03,8.91,Nigeria,12,2015-12-01
2024,344,29.11,28.67,24.52,3.87,1.55,57.7,2.91,5.31,77.36,11.33,Nigeria,12,2024-12-01
2018,161,30.34,33.21,26.96,4.47,6.49,53.93,0.72,2.49,78.96,7.84,Nigeria,5,2018-05-01
2021,177,26.59,33.12,23.04,8.96,1.8,70.73,3.32,3.94,75.18,13.23,Nigeria,9,2021-09-01
2016,285,26.63,28.02,25.2,0.48,3.45,54.37,2.89,4.14,76.81,12.89,Nigeria,4,2016-04-01
2017,63,29.09,30.77,22.3,5.17,4.33,57.86,2.27,3.22,78.16,8.0,Nigeria,11,2017-11-01
2015,150,28.01,32.14,23.73,7.24,4.15,63.17,1.5,3.88,76.88,6.83,Nigeria,6,2015-06-01
2019,154,23.01,31.7,26.18,6.82,2.41,48.3,0.59,3.09,77.81,7.68,Nigeria,1,2019-01-01
2015,156,25.31,30.16,24.44,8.92,6.75,65.47,2.71,4.64,78.41,7.71,Nigeria,9,2015-09-01
2022,49,26.97,32.61,26.58,6.32,6.49,63.93,4.75,2.66,77.23,11.6,Nigeria,1,2022-01-01
2015,337,24.26,28.19,24.85,6.75,1.35,76.84,2.15,5.06,77.51,13.1,Nigeria,5,2015-05-01
2025,84,26.05,29.39,28.44,2.32,0.3,56.8,0.17,3.93,77.09,11.58,Nigeria,4,2025-04-01
2015,361,24.31,28.24,20.87,4.02,2.29,52.01,2.46,3.55,77.3,9.53,Nigeria,12,2015-12-01
2016,177,26.26,31.56,23.57,2.43,0.79,61.26,2.86,3.0,79.1,10.68,Nigeria,3,2016-03-01
2016,148,26.33,28.83,21.83,7.15,6.2,54.02,1.08,5.03,76.94,8.26,Nigeria,6,2016-06-01
2020,118,27.7,29.66,21.97,6.7,3.74,65.39,1.35,3.35,76.65,12.19,Nigeria,2,2020-02-01
2021,342,26.82,31.24,21.99,6.63,2.47,46.4,1.25,2.83,78.04,10.86,Nigeria,3,2021-03-01
2019,63,28.01,31.4,24.34,4.24,1.11,58.95,1.47,5.05,76.16,11.55,Nigeria,5,2019-05-01
2015,189,27.77,28.19,24.45,4.05,8.94,55.72,1.83,3.1,76.39,8.54,Nigeria,9,2015-09-01
2015,360,29.06,32.11,24.85,6.42,10.68,70.68,1.14,3.91,76.39,9.66,Nigeria,2,2015-02-01
2017,49,28.75,30.91,21.75,4.66,5.69,56.89,0.76,4.82,76.74,11.45,Nigeria,10,2017-10-01
2016,327,28.54,27.84,23.35,3.96,1.94,47.64,2.17,4.16,76.79,12.89,Nigeria,8,2016-08-01
2019,257,33.21,27.34,22.07,4.98,0.8,62.98,1.82,5.73,77.7,8.78,Nigeria,2,2019-02-01
2024,224,27.69,29.97,25.87,4.68,5.75,68.2,1.56,3.17,76.66,11.56,Nigeria,11,2024-11-01
2020,141,32.19,31.7,22.26,4.27,3.38,62.29,2.08,3.79,77.74,8.58,Nigeria,5,2020-05-01
2021,215,27.82,31.75,23.57,3.55,5.05,58.89,0.48,3.87,77.86,14.23,Nigeria,7,2021-07-01
2018,211,26.83,30.71,25.12,6.9,8.16,58.28,2.26,4.62,76.35,9.17,Nigeria,8,2018-08-01
2021,318,26.25,30.1,22.77,9.11,9.73,66.13,1.58,5.29,77.84,11.29,Nigeria,1,2021-01-01
2025,32,30.02,31.02,25.39,5.92,6.69,56.11,2.24,4.07,77.93,10.33,Nigeria,6,2025-06-01
2022,158,30.28,28.29,27.19,6.44,2.46,61.72,2.4,3.86,75.24,15.21,Nigeria,1,2022-01-01
2025,285,28.2,33.37,24.38,7.07,0.18,72.5,3.13,2.52,77.29,10.46,Nigeria,2,2025-02-01
2015,305,29.27,33.35,25.8,6.73,6.29,51.99,2.1,4.11,76.49,8.97,Nigeria,1,2015-01-01
2020,286,24.45,30.86,19.85,4.31,10.98,64.56,3.07,3.35,78.3,11.28,Nigeria,11,2020-11-01
2022,144,23.9,30.39,23.14,9.44,1.22,47.11,1.68,4.62,76.48,11.23,Nigeria,5,2022-05-01
2019,19,29.49,29.18,24.37,4.49,14.67,67.28,1.73,3.59,75.66,9.69,Nigeria,10,2019-10-01
2018,18,26.75,31.06,21.89,7.3,12.78,55.21,1.91,3.76,76.97,7.81,Nigeria,9,2018-09-01
2016,257,28.5,28.62,24.42,7.06,1.52,75.2,2.77,2.54,76.1,8.94,Nigeria,6,2016-06-01
2020,78,25.57,25.55,26.12,2.08,0.54,50.23,2.63,2.19,77.85,11.76,Nigeria,11,2020-11-01
2020,175,30.31,24.57,20.24,5.28,5.33,69.42,2.14,5.86,76.19,6.51,Nigeria,11,2020-11-01
2025,194,23.92,28.4,21.62,6.11,5.77,77.21,0.77,4.13,76.98,9.5,Nigeria,1,2025-01-01
2015,113,24.23,30.31,24.37,6.27,0.81,54.69,2.61,4.4,78.55,11.99,Nigeria,1,2015-01-01
2023,114,29.89,30.66,24.92,6.6,0.31,56.38,1.14,3.09,78.1,9.81,Nigeria,2,2023-02-01
2025,222,21.78,29.03,25.48,7.52,12.26,55.56,1.08,4.88,77.48,14.35,Nigeria,9,2025-09-01
2020,166,27.76,30.28,24.22,5.98,3.81,60.14,0.86,4.7,76.87,6.51,Nigeria,3,2020-03-01
2017,319,26.79,29.45,24.92,6.71,1.58,70.17,1.92,3.2,77.38,8.08,Nigeria,1,2017-01-01
2018,132,25.53,28.0,25.81,5.91,0.16,59.32,3.21,2.94,77.69,5.37,Nigeria,5,2018-05-01
2025,264,26.6,29.89,23.17,3.97,7.47,53.79,1.03,3.27,76.01,13.99,Nigeria,7,2025-07-01
2018,55,25.3,31.63,22.78,6.06,0.52,44.81,3.68,3.97,77.85,8.11,Nigeria,6,2018-06-01
2017,359,30.08,28.09,23.66,7.5,2.75,81.02,2.91,4.17,75.9,6.03,Nigeria,12,2017-12-01
2024,131,30.61,28.09,24.4,8.22,0.2,81.8,0.54,4.04,77.57,8.78,Nigeria,1,2024-01-01
