YEAR,DOY,T2M,T2M_MAX,T2M_MIN,T2M_RANGE,PRECTOTCORR,RH2M,WS2M,WS2M_MAX,PS,QV2M,Country,Month,Date
2018,127,32.93,30.29,29.39,6.23,2.35,83.3,1.34,4.92,77.24,14.7,Sudan,1,2018-01-01
2019,106,32.93,31.64,25.79,5.21,1.56,70.29,1.41,5.03,76.46,11.3,Sudan,6,2019-06-01
2021,92,28.23,34.04,28.78,8.79,3.94,65.57,2.76,3.54,75.4,9.29,Sudan,5,2021-05-01
2021,287,29.66,32.41,23.95,9.0,3.33,64.75,1.44,4.88,78.47,10.91,Sudan,6,2021-06-01
2025,51,28.86,29.59,24.41,6.0,8.38,54.8,3.33,3.99,76.52,8.48,Sudan,10,2025-10-01
2018,29,30.8,33.19,23.8,3.42,0.71,52.39,3.17,3.84,77.29,10.64,Sudan,12,2018-12-01
2021,296,31.55,33.54,24.3,6.85,11.3,70.07,2.02,5.25,77.7,9.6,Sudan,5,2021-05-01
2025,297,29.52,31.29,27.45,2.67,6.32,55.65,2.75,4.55,77.31,9.86,Sudan,6,2025-06-01
2017,214,29.94,33.22,24.28,9.25,3.45,67.11,2.62,3.65,76.29,8.2,Sudan,5,2017-05-01
2020,267,27.76,32.49,30.48,5.05,2.1,76.15,1.75,4.49,78.16,10.6,Sudan,11,2020-11-01
2016,257,29.87,31.61,26.92,5.94,1.47,58.35,2.86,2.73,77.51,11.65,Sudan,12,2016-12-01
2024,302,29.33,29.41,28.17,4.64,1.79,85.1,3.01,4.25,77.2,6.7,Sudan,5,2024-05-01
2023,101,27.18,34.16,26.98,4.2,3.84,55.09,1.05,2.5,77.18,8.62,Sudan,4,2023-04-01
2019,346,28.97,33.52,28.43,7.47,1.96,74.9,2.15,3.02,78.68,10.34,Sudan,3,2019-03-01
2020,110,28.23,33.17,24.26,5.68,0.2,69.25,2.14,4.58,76.27,5.31,Sudan,3,2020-03-01
2018,182,27.78,35.09,28.89,6.08,3.87,76.94,2.85,1.33,77.42,13.48,Sudan,4,2018-04-01
2025,313,26.71,33.89,26.28,3.99,1.18,53.84,1.56,5.8,76.47,8.58,Sudan,9,2025-09-01
2024,1,29.13,33.37,28.42,7.71,4.61,88.07,1.4,4.83,75.06,8.12,Sudan,2,2024-02-01
2021,319,27.44,27.57,23.12,7.92,1.88,63.21,2.17,2.16,75.04,9.59,Sudan,9,2021-09-01
2023,55,28.06,34.39,26.36,5.58,6.48,71.77,3.18,6.4,75.99,10.27,Sudan,1,2023-01-01
2021,149,31.15,32.17,26.29,8.54,7.95,79.44,0.8,6.67,76.34,8.49,Sudan,1,2021-01-01
2015,309,30.26,32.62,24.76,5.79,7.94,58.95,0.98,3.82,79.17,11.96,Sudan,5,2015-05-01
2015,137,27.04,32.64,26.63,7.56,4.59,73.26,1.48,3.07,77.7,10.8,Sudan,6,2015-06-01
2023,202,29.7,33.55,29.08,2.75,5.17,57.29,1.66,5.69,77.79,8.33,Sudan,6,2023-06-01
2025,313,29.27,34.24,24.61,6.71,1.39,78.97,0.23,3.66,76.36,8.96,Sudan,3,2025-03-01
2023,117,32.4,33.27,27.92,5.46,6.39,57.4,3.5,4.16,77.06,6.97,Sudan,7,2023-07-01
2018,154,31.77,32.95,23.75,6.31,6.95,65.39,1.87,5.22,79.31,7.49,Sudan,9,2018-09-01
2023,291,25.93,32.46,30.22,6.22,4.84,68.06,1.72,3.85,75.79,10.78,Sudan,11,2023-11-01
2017,63,30.72,25.3,27.57,6.25,4.89,72.84,3.62,3.76,77.46,8.35,Sudan,12,2017-12-01
2021,244,31.53,31.42,29.45,7.23,9.84,84.68,2.72,2.73,78.61,13.61,Sudan,10,2021-10-01
2020,25,30.12,30.12,27.34,4.87,1.22,60.48,1.46,3.37,77.97,10.14,Sudan,8,2020-08-01
2022,90,28.33,34.42,26.78,7.14,0.13,76.39,2.16,3.74,78.8,7.29,Sudan,6,2022-06-01
2025,75,33.83,33.24,27.59,8.47,0.9,84.7,1.96,2.76,77.21,7.71,Sudan,12,2025-12-01
2023,294,30.3,31.08,25.73,3.18,4.52,66.66,3.45,2.85,77.6,12.11,Sudan,8,2023-08-01
2019,210,32.95,31.28,22.76,4.44,3.63,59.5,1.83,4.03,77.11,9.85,Sudan,12,2019-12-01
2015,347,31.7,31.21,26.89,4.52,3.15,47.7,0.56,2.15,77.53,11.98,Sudan,5,2015-05-01
2017,17,29.93,31.18,24.49,3.82,3.99,83.83,0.12,3.12,76.08,9.27,Sudan,8,2017-08-01
2024,128,27.84,29.11,23.8,5.05,5.08,62.56,3.48,5.94,77.79,8.88,Sudan,10,2024-10-01
2022,364,28.95,28.68,27.27,8.07,0.99,54.99,1.21,3.65,77.29,12.24,Sudan,12,2022-12-01
2025,251,28.56,32.06,25.44,8.9,4.37,51.42,2.67,3.53,77.06,8.28,Sudan,4,2025-04-01
2020,179,26.57,34.15,28.06,6.21,5.22,54.97,2.07,3.65,78.75,10.98,Sudan,10,2020-10-01
2022,182,30.3,30.92,24.42,5.35,0.56,74.2,1.58,3.67,76.73,9.58,Sudan,8,2022-08-01
2023,152,32.13,32.61,25.06,7.61,5.1,75.58,1.74,4.57,78.21,11.76,Sudan,10,2023-10-01
2018,25,28.4,33.47,28.3,1.27,3.4,71.52,3.58,4.5,78.31,13.64,Sudan,12,2018-12-01
2015,180,33.33,30.01,26.56,3.89,0.16,66.32,0.55,3.61,77.86,9.22,Sudan,2,2015-02-01
2015,198,25.88,31.96,23.05,1.36,4.41,52.54,1.61,3.79,76.03,8.91,Sudan,12,2015-12-01
2024,344,31.11,30.67,26.52,3.87,1.55,57.7,2.91,5.31,77.36,11.33,Sudan,12,2024-12-01
2018,161,32.34,35.21,28.96,4.47,6.49,53.93,0.72,2.49,78.96,7.84,Sudan,5,2018-05-01
2021,177,28.59,35.12,25.04,8.96,1.8,70.73,3.32,3.94,75.18,13.23,Sudan,9,2021-09-01
2016,285,28.63,30.02,27.2,0.48,3.45,54.37,2.89,4.14,76.81,12.89,Sudan,4,2016-04-01
2017,63,31.09,32.77,24.3,5.17,4.33,57.86,2.27,3.22,78.16,8.0,Sudan,11,2017-11-01
2015,150,30.01,34.14,25.73,7.24,4.15,63.17,1.5,3.88,76.88,6.83,Sudan,6,2015-06-01
2019,154,25.01,33.7,28.18,6.82,2.41,48.3,0.59,3.09,77.81,7.68,Sudan,1,2019-01-01
2015,156,27.31,32.16,26.44,8.92,6.75,65.47,2.71,4.64,78.41,7.71,Sudan,9,2015-09-01
2022,49,28.97,34.61,28.58,6.32,6.49,63.93,4.75,2.66,77.23,11.6,Sudan,1,2022-01-01
2015,337,26.26,30.19,26.85,6.75,1.35,76.84,2.15,5.06,77.51,13.1,Sudan,5,2015-05-01
2025,84,28.05,31.39,30.44,2.32,0.3,56.8,0.17,3.93,77.09,11.58,Sudan,4,2025-04-01
2015,361,26.31,30.24,22.87,4.02,2.29,52.01,2.46,3.55,77.3,9.53,Sudan,12,2015-12-01
2016,177,28.26,33.56,25.57,2.43,0.79,61.26,2.86,3.0,79.1,10.68,Sudan,3,2016-03-01
2016,148,28.33,30.83,23.83,7.15,6.2,54.02,1.08,5.03,76.94,8.26,Sudan,6,2016-06-01
2020,118,29.7,31.66,23.97,6.7,3.74,65.39,1.35,3.35,76.65,12.19,Sudan,2,2020-02-01
2021,342,28.82,33.24,23.99,6.63,2.47,46.4,1.25,2.83,78.04,10.86,Sudan,3,2021-03-01
2019,63,30.01,33.4,26.34,4.24,1.11,58.95,1.47,5.05,76.16,11.55,Sudan,5,2019-05-01
2015,189,29.77,30.19,26.45,4.05,8.94,55.72,1.83,3.1,76.39,8.54,Sudan,9,2015-09-01
2015,360,31.06,34.11,26.85,6.42,10.68,70.68,1.14,3.91,76.39,9.66,Sudan,2,2015-02-01
2017,49,30.75,32.91,23.75,4.66,5.69,56.89,0.76,4.82,76.74,11.45,Sudan,10,2017-10-01
2016,327,30.54,29.84,25.35,3.96,1.94,47.64,2.17,4.16,76.79,12.89,Sudan,8,2016-08-01
2019,257,35.21,29.34,24.07,4.98,0.8,62.98,1.82,5.73,77.7,8.78,Sudan,2,2019-02-01
2024,224,29.69,31.97,27.87,4.68,5.75,68.2,1.56,3.17,76.66,11.56,Sudan,11,2024-11-01
2020,141,34.19,33.7,24.26,4.27,3.38,62.29,2.08,3.79,77.74,8.58,Sudan,5,2020-05-01
2021,215,29.82,33.75,25.57,3.55,5.05,58.89,0.48,3.87,77.86,14.23,Sudan,7,2021-07-01
2018,211,28.83,32.71,27.12,6.9,8.16,58.28,2.26,4.62,76.35,9.17,Sudan,8,2018-08-01
2021,318,28.25,32.1,24.77,9.11,9.73,66.13,1.58,5.29,77.84,11.29,Sudan,1,2021-01-01
2025,32,32.02,33.02,27.39,5.92,6.69,56.11,2.24,4.07,77.93,10.33,Sudan,6,2025-06-01
2022,158,32.28,30.29,29.19,6.44,2.46,61.72,2.4,3.86,75.24,15.21,Sudan,1,2022-01-01
2025,285,30.2,35.37,26.38,7.07,0.18,72.5,3.13,2.52,77.29,10.46,Sudan,2,2025-02-01
2015,305,31.27,35.35,27.8,6.73,6.29,51.99,2.1,4.11,76.49,8.97,Sudan,1,2015-01-01
2020,286,26.45,32.86,21.85,4.31,10.98,64.56,3.07,3.35,78.3,11.28,Sudan,11,2020-11-01
2022,144,25.9,32.39,25.14,9.44,1.22,47.11,1.68,4.62,76.48,11.23,Sudan,5,2022-05-01
2019,19,31.49,31.18,26.37,4.49,14.67,67.28,1.73,3.59,75.66,9.69,Sudan,10,2019-10-01
2018,18,28.75,33.06,23.89,7.3,12.78,55.21,1.91,3.76,76.97,7.81,Sudan,9,2018-09-01
2016,257,30.5,30.62,26.42,7.06,1.52,75.2,2.77,2.54,76.1,8.94,Sudan,6,2016-06-01
2020,78,27.57,27.55,28.12,2.08,0.54,50.23,2.63,2.19,77.85,11.76,Sudan,11,2020-11-01
2020,175,32.31,26.57,22.24,5.28,5.33,69.42,2.14,5.86,76.19,6.51,Sudan,11,2020-11-01
2025,194,25.92,30.4,23.62,6.11,5.77,77.21,0.77,4.13,76.98,9.5,Sudan,1,2025-01-01
2015,113,26.23,32.31,26.37,6.27,0.81,54.69,2.61,4.4,78.55,11.99,Sudan,1,2015-01-01
2023,114,31.89,32.66,26.92,6.6,0.31,56.38,1.14,3.09,78.1,9.81,Sudan,2,2023-02-01
2025,222,23.78,31.03,27.48,7.52,12.26,55.56,1.08,4.88,77.48,14.35,Sudan,9,2025-09-01
2020,166,29.76,32.28,26.22,5.98,3.81,60.14,0.86,4.7,76.87,6.51,Sudan,3,2020-03-01
2017,319,28.79,31.45,26.92,6.71,1.58,70.17,1.92,3.2,77.38,8.08,Sudan,1,2017-01-01
2018,132,27.53,30.0,27.81,5.91,0.16,59.32,3.21,2.94,77.69,5.37,Sudan,5,2018-05-01
2025,264,28.6,31.89,25.17,3.97,7.47,53.79,1.03,3.27,76.01,13.99,Sudan,7,2025-07-01
2018,55,27.3,33.63,24.78,6.06,0.52,44.81,3.68,3.97,77.85,8.11,Sudan,6,2018-06-01
2017,359,32.08,30.09,25.66,7.5,2.75,81.02,2.91,4.17,75.9,6.03,Sudan,12,2017-12-01
2024,131,32.61,30.09,26.4,8.22,0.2,81.8,0.54,4.04,77.57,8.78,Sudan,1,2024-01-01
2017,288,27.63,29.86,24.68,7.07,4.59,70.6,1.62,5.3,75.89,7.21,Sudan,5,2017-05-01
2017,266,29.55,28.13,25.21,8.67,1.98,56.9,0.96,3.29,78.96,8.79,Sudan,5,2017-05-01
2018,162,26.35,31.04,26.8,6.84,0.49,72.48,2.66,2.91,77.76,10.08,Sudan,6,2018-06-01
2021,87,31.15,33.43,26.32,7.73,1.68,74.49,1.01,4.0,75.44,11.61,Sudan,3,2021-03-01
